Jerry Stackhouse,34
2021,"['Brook Lopez', 'Jeff Teague']"
2020,"['LeBron James', 'Udonis Haslem']"
2019,"['Jodie Meeks', 'Andrew Bogut']"
2018,"['Zaza Pachulia', 'LeBron James', 'Dwyane Wade']"
2017,"['Zaza Pachulia', 'Andrew Bogut', 'LeBron James', 'James Jones', 'Deron Williams']"
2016,"['LeBron James', 'James Jones', 'Andrew Bogut']"
2015,"['Andrew Bogut', 'Brendan Haywood', 'LeBron James', 'James Jones']"
2014,"['Damion James', 'Joel Anthony', 'Chris Bosh', 'Mario Chalmers', 'Udonis Haslem', 'LeBron James', 'James Jones', 'Dwyane Wade']"
2013,"['Joel Anthony', 'Chris Bosh', 'Mario Chalmers', 'Udonis Haslem', 'Juwan Howard', 'LeBron James', 'James Jones', 'Dwyane Wade', 'Tracy McGrady']"
2012,"['Joel Anthony', 'Chris Bosh', 'Mario Chalmers', 'Udonis Haslem', 'Juwan Howard', 'LeBron James', 'James Jones', 'Dwyane Wade', 'Royal Ivey']"
2011,"['J.J. Barea', 'Brian Cardinal', 'Brendan Haywood', 'Jason Kidd', 'Dirk Nowitzki', 'Jason Terry', 'Joel Anthony', 'Carlos Arroyo', 'Chris Bosh', 'Mario Chalmers', 'Erick Dampier', 'Udonis Haslem', 'Eddie House', 'Juwan Howard', 'Zydrunas Ilgauskas', 'LeBron James', 'James Jones', 'Jamaal Magloire', 'Dwyane Wade']"
2010,"['D.J. Mbenga', 'Josh Powell', 'Marquis Daniels', 'Michael Finley', 'Eddie House']"
2009,"['D.J. Mbenga', 'Josh Powell', 'Vladimir Radmanović', 'Keith Bogans', 'Anthony Johnson', 'Tyronn Lue']"
2008,"['Eddie House', 'Scot Pollard', 'Kwame Brown', 'D.J. Mbenga', 'Vladimir Radmanović']"
2007,"['Francisco Elson', 'Michael Finley', 'Larry Hughes', 'Zydrunas Ilgauskas', 'LeBron James', 'Damon Jones', 'Scot Pollard']"
2006,"['Udonis Haslem', 'Dwyane Wade', 'Darrell Armstrong', 'Erick Dampier', 'Marquis Daniels', 'DeSagana Diop', 'Adrian Griffin', 'Devin Harris', 'Josh Howard', 'D.J. Mbenga', 'Rawle Marshall', 'Dirk Nowitzki', 'Pavel Podkolzin', 'Josh Powell', 'Jason Terry', 'Keith Van Horn']"
2005,"['Tony Massenburg', 'Carlos Arroyo', 'Derrick Coleman', 'Carlos Delfino', 'Anthony Goldwire', 'Lindsey Hunter', 'Ben Wallace']"
2004,"['Chucky Atkins', 'Lindsey Hunter', 'Željko Rebrača', 'Ben Wallace', 'Corliss Williamson', 'Devean George', 'Jannero Pargo', 'Bryon Russell']"
2003,"['Anthony Goldwire', 'Kevin Willis', 'Jason Collins', 'Lucious Harris', 'Anthony Johnson', 'Jason Kidd']"
2002,"['Devean George', 'Lindsey Hunter', 'Jason Collins', 'Lucious Harris', 'Anthony Johnson', 'Jason Kidd', 'Keith Van Horn']"
2001,"['Devean George', 'Tyronn Lue', 'Allen Iverson', 'Vernon Maxwell']"
2000,"['Devean George', 'Tyronn Lue', 'Austin Croshere']"
1999,['Kurt Thomas']
1998,"['Jud Buechler', 'Michael Jordan', 'Bryon Russell']"
1997,"['Jud Buechler', 'Bison Dele', 'Michael Jordan', 'Bryon Russell']"
1996,"['Jud Buechler', 'Michael Jordan']"
1995,"['Adrian Caldwell', 'Vernon Maxwell', 'Darrell Armstrong']"
1994,"['Vernon Maxwell', 'Charles Oakley']"
1993,"['Joe Courtney', 'Michael Jordan', 'Scott Williams', 'Cedric Ceballos', 'Tom Chambers', 'Richard Dumas']"
1992,"['Michael Jordan', 'Scott Williams', 'Clifford Robinson']"
1991,"['Michael Jordan', 'Scott Williams']"
1990,"['Joe Dumars', 'Clifford Robinson']"
1989,"['Joe Dumars', 'Rick Mahorn']"
1988,"['Joe Dumars', 'Rick Mahorn']"
Jermaine O'Neal,32
2021,"[""E'Twaun Moore"", 'P.J. Tucker']"
2020,"['Avery Bradley', 'Jared Dudley', 'Markieff Morris', 'Rajon Rondo', 'Goran Dragić', 'Udonis Haslem', 'Andre Iguodala']"
2019,"['Andrew Bogut', 'Stephen Curry', 'Draymond Green', 'Andre Iguodala', 'Klay Thompson']"
2018,"['Stephen Curry', 'Draymond Green', 'Andre Iguodala', 'Klay Thompson', 'José Calderón', 'Jeff Green', 'Dwyane Wade']"
2017,"['Stephen Curry', 'Draymond Green', 'Andre Iguodala', 'Klay Thompson', 'Andrew Bogut', 'Mike Dunleavy', 'James Jones']"
2016,"['James Jones', 'Harrison Barnes', 'Andrew Bogut', 'Stephen Curry', 'Draymond Green', 'Andre Iguodala', 'Marreese Speights', 'Klay Thompson']"
2015,"['Harrison Barnes', 'Andrew Bogut', 'Stephen Curry', 'Draymond Green', 'Andre Iguodala', 'Ognjen Kuzmić', 'David Lee', 'Marreese Speights', 'Klay Thompson', 'James Jones']"
2014,"['Shannon Brown', 'Ray Allen', 'Joel Anthony', 'Michael Beasley', 'Chris Bosh', 'Mario Chalmers', 'Toney Douglas', 'Udonis Haslem', 'James Jones', 'Dwyane Wade']"
2013,"['Ray Allen', 'Joel Anthony', 'Chris Bosh', 'Mario Chalmers', 'Udonis Haslem', 'James Jones', 'Dwyane Wade', 'Stephen Jackson']"
2012,"['Joel Anthony', 'Chris Bosh', 'Mario Chalmers', 'Udonis Haslem', 'James Jones', 'Dwyane Wade', 'Daequan Cook']"
2011,"['Sasha Pavlović', 'Peja Stojaković', 'Joel Anthony', 'Carlos Arroyo', 'Chris Bosh', 'Mario Chalmers', 'Udonis Haslem', 'James Jones', 'Jamaal Magloire', 'Dwyane Wade']"
2010,"['Shannon Brown', 'Josh Powell', 'Metta World Peace', 'Ray Allen', 'Marquis Daniels', 'Glen Davis', 'Kevin Garnett', 'Paul Pierce', 'Nate Robinson', 'Rajon Rondo', 'Rasheed Wallace']"
2009,"['Shannon Brown', 'Josh Powell', 'Rafer Alston', 'Marcin Gortat', 'Anthony Johnson', 'Mickaël Piétrus']"
2008,"['Ray Allen', 'Glen Davis', 'Kevin Garnett', 'Paul Pierce', 'Scot Pollard', 'Rajon Rondo']"
2007,"['Shannon Brown', 'Sasha Pavlović', 'Scot Pollard']"
2006,"['Udonis Haslem', 'Jason Kapono', ""Shaquille O'Neal"", 'Dwyane Wade', 'Dorell Wright', 'Darrell Armstrong', 'Marquis Daniels', 'Rawle Marshall', 'Josh Powell']"
2005,"['Carlos Arroyo', 'Rasheed Wallace']"
2004,"['Rasheed Wallace', ""Shaquille O'Neal"", 'Kareem Rush']"
2003,"['Stephen Jackson', 'Steve Smith', 'Anthony Johnson']"
2002,"[""Shaquille O'Neal"", 'Samaki Walker', 'Anthony Johnson']"
2001,"[""Shaquille O'Neal"", 'Isaiah Rider', 'Aaron McKie', 'Kevin Ollie']"
2000,"[""Shaquille O'Neal"", 'Jonathan Bender', 'Travis Best', 'Austin Croshere', 'Dale Davis', 'Jeff Foster', 'Al Harrington', 'Derrick McKey', 'Reggie Miller', 'Sam Perkins', 'Jalen Rose', 'Žan Tabak']"
1999,"['Rick Brunson', 'Chris Dudley']"
1998,"['Joe Kleine', 'Scottie Pippen']"
1997,"['Scottie Pippen', 'Ruben Nembhard']"
1996,"['Scottie Pippen', 'Vincent Askew', 'Sam Perkins', 'Detlef Schrempf']"
1995,"['Žan Tabak', 'Darrell Armstrong', ""Shaquille O'Neal""]"
1994,['Greg Anthony']
1993,['Scottie Pippen']
1992,"['Scottie Pippen', 'Clifford Robinson', 'Ennis Whatley']"
1991,"['Scottie Pippen', 'Sam Perkins']"
1990,['Clifford Robinson']
Shawn Marion,32
2021,['Jae Crowder']
2020,"['LeBron James', 'J.R. Smith', 'Dion Waiters', 'Jae Crowder', 'Udonis Haslem']"
2019,['Shaun Livingston']
2018,"['Shaun Livingston', 'José Calderón', 'Jae Crowder', 'LeBron James', 'Kevin Love', 'Kendrick Perkins', 'Iman Shumpert', 'J.R. Smith', 'Tristan Thompson', 'Dwyane Wade']"
2017,"['Shaun Livingston', 'Anderson Varejão', 'Kyrie Irving', 'LeBron James', 'Dahntay Jones', 'James Jones', 'Kevin Love', 'Iman Shumpert', 'J.R. Smith', 'Tristan Thompson']"
2016,"['Jared Cunningham', 'Matthew Dellavedova', 'Joe Harris', 'Kyrie Irving', 'LeBron James', 'Dahntay Jones', 'James Jones', 'Kevin Love', 'Timofey Mozgov', 'Iman Shumpert', 'J.R. Smith', 'Tristan Thompson', 'Anderson Varejão', 'Leandro Barbosa', 'Shaun Livingston']"
